iter	Passed	Remaining
376	1284	2122
377	1287	2118
378	1290	2114
379	1293	2110
380	1296	2106
381	1299	2103
382	1302	2098
383	1305	2094
384	1309	2091
385	1311	2086
386	1314	2082
387	1317	2078
388	1320	2074
389	1323	2070
390	1326	2066
391	1329	2062
392	1332	2058
393	1335	2054
394	1339	2051
395	1342	2047
396	1345	2043
397	1348	2039
398	1351	2035
399	1354	2031
400	1357	2027
401	1360	2023
402	1363	2019
403	1366	2015
404	1369	2011
405	1372	2007
406	1375	2003
407	1378	1999
408	1381	1995
409	1384	1992
410	1387	1988
411	1390	1984
412	1393	1980
413	1396	1976
414	1399	1972
415	1402	1968
416	1405	1964
417	1408	1960
418	1411	1957
419	1414	1953
420	1417	1949
421	1420	1946
422	1424	1942
423	1427	1938
424	1430	1934
425	1432	1930
426	1435	1926
427	1438	1922
428	1441	1919
429	1445	1915
430	1447	1911
431	1450	1907
432	1453	1903
433	1456	1900
434	1459	1896
435	1463	1892
436	1466	1888
437	1469	1885
438	1472	1881
439	1475	1877
440	1477	1873
441	1480	1869
442	1483	1865
443	1486	1861
444	1489	1857
445	1492	1854
446	1495	1850
447	1498	1846
448	1501	1843
449	1504	1839
450	1507	1835
451	1510	1831
452	1513	1827
453	1516	1824
454	1520	1820
455	1522	1816
456	1525	1812
457	1528	1809
458	1532	1805
459	1535	1802
460	1538	1798
461	1541	1794
462	1544	1790
463	1547	1787
464	1550	1783
465	1553	1779
466	1556	1776
467	1559	1772
468	1562	1768
469	1565	1765
470	1569	1762
471	1572	1759
472	1575	1755
473	1579	1752
474	1583	1749
475	1586	1746
476	1589	1743
477	1594	1740
478	1598	1739
479	1603	1736
480	1607	1734
481	1611	1732
482	1615	1729
483	1619	1727
484	1623	1724
485	1627	1721
486	1630	1718
487	1634	1715
488	1638	1711
489	1641	1708
490	1645	1705
491	1648	1702
492	1652	1699
493	1655	1695
494	1659	1693
495	1663	1690
496	1666	1687
497	1670	1683
498	1673	1680
499	1677	1677
500	1680	1673
501	1683	1670
502	1687	1667
503	1690	1664
504	1694	1660
505	1697	1657
506	1700	1653
507	1703	1650
508	1706	1646
509	1709	1642
510	1712	1638
511	1715	1635
512	1718	1631
513	1721	1627
514	1724	1624
515	1728	1621
516	1731	1617
517	1735	1614
518	1738	1611
519	1742	1608
520	1745	1604
521	1748	1601
522	1751	1597
523	1754	1593
524	1757	1590
525	1760	1586
526	1763	1583
527	1766	1579
528	1770	1575
529	1773	1572
530	1776	1568
531	1779	1565
532	1783	1562
533	1786	1559
534	1789	1555
535	1793	1552
536	1796	1548
537	1799	1544
538	1802	1541
539	1805	1537
540	1808	1534
541	1811	1530
542	1814	1526
543	1817	1523
544	1821	1520
545	1824	1517
546	1827	1513
547	1830	1510
548	1834	1506
549	1837	1503
550	1840	1499
551	1843	1495
552	1846	1492
553	1849	1489
554	1852	1485
555	1855	1481
556	1858	1478
557	1861	1474
558	1864	1471
559	1867	1467
560	1870	1463
561	1874	1460
562	1877	1457
563	1880	1453
564	1883	1450
565	1886	1446
566	1889	1443
567	1892	1439
568	1895	1436
569	1898	1432
570	1902	1429
571	1905	1425
572	1908	1422
573	1911	1418
574	1914	1414
575	1917	1411
576	1920	1407
577	1923	1404
578	1926	1400
579	1929	1397
580	1932	1393
581	1936	1390
582	1939	1387
583	1942	1383
584	1945	1379
585	1948	1376
586	1951	1373
587	1954	1369
588	1957	1366
589	1960	1362
590	1964	1359
591	1966	1355
592	1970	1352
593	1973	1348
594	1976	1345
595	1979	1341
596	1982	1338
597	1985	1334
598	1988	1331
599	1992	1328
600	1995	1324
601	1998	1321
602	2001	1317
603	2004	1314
604	2007	1310
605	2010	1307
606	2013	1303
607	2016	1300
608	2019	1296
609	2022	1293
610	2025	1289
611	2028	1286
612	2031	1282
613	2035	1279
614	2037	1275
615	2040	1272
616	2044	1268
617	2046	1265
618	2049	1261
619	2052	1258
620	2056	1254
621	2059	1251
622	2062	1247
623	2065	1244
624	2069	1241
625	2071	1237
626	2075	1234
627	2078	1230
628	2081	1227
629	2084	1224
630	2087	1220
631	2090	1217
632	2093	1213
633	2096	1210
634	2099	1206
635	2102	1203
636	2105	1199
637	2108	1196
638	2111	1193
639	2114	1189
640	2117	1186
641	2121	1182
642	2124	1179
643	2127	1175
644	2130	1172
645	2133	1169
646	2137	1165
647	2140	1162
648	2143	1159
649	2146	1155
650	2148	1152
651	2152	1148
652	2155	1145
653	2158	1141
654	2161	1138
655	2164	1134
656	2167	1131
657	2170	1128
658	2173	1124
659	2177	1121
660	2180	1118
661	2183	1114
662	2186	1111
663	2189	1107
664	2192	1104
665	2195	1101
666	2199	1097
667	2202	1094
668	2205	1091
669	2208	1087
670	2211	1084
671	2214	1081
672	2217	1077
673	2220	1074
674	2223	1070
675	2226	1067
676	2230	1064
677	2233	1060
678	2236	1057
679	2239	1053
680	2242	1050
681	2245	1047
682	2248	1043
683	2251	1040
684	2254	1036
685	2257	1033
686	2260	1030
687	2264	1026
688	2267	1023
689	2270	1019
690	2273	1016
691	2276	1013
692	2279	1009
693	2282	1006
694	2286	1003
695	2288	999
696	2292	996
697	2295	993
698	2298	989
699	2301	986
700	2304	982
701	2307	979
702	2310	976
703	2313	972
704	2316	969
705	2319	966
706	2322	962
707	2325	959
708	2329	956
709	2332	952
710	2335	949
711	2338	946
712	2342	942
713	2345	939
714	2348	936
715	2351	932
716	2353	929
717	2356	925
718	2359	922
719	2362	918
720	2366	915
721	2369	912
722	2372	908
723	2375	905
724	2378	902
725	2381	898
726	2384	895
727	2388	892
728	2391	888
729	2393	885
730	2397	882
731	2400	878
732	2403	875
733	2406	872
734	2410	868
735	2412	865
736	2415	862
737	2418	858
738	2421	855
739	2425	852
740	2428	848
741	2431	845
742	2434	841
743	2437	838
744	2440	835
745	2443	832
746	2446	828
747	2449	825
748	2453	822
749	2456	818
750	2459	815
751	2461	811
752	2464	808
753	2468	805
754	2471	801
755	2474	798
756	2477	795
757	2480	791
758	2483	788
759	2487	785
760	2490	782
761	2493	778
762	2497	775
763	2500	772
764	2503	769
765	2506	765
766	2509	762
767	2512	759
768	2515	755
769	2518	752
770	2521	749
771	2524	745
772	2527	742
773	2530	738
774	2534	735
775	2537	732
776	2540	729
777	2543	725
778	2546	722
779	2549	719
780	2552	715
781	2555	712
782	2558	709
783	2561	705
784	2564	702
785	2567	699
786	2570	695
787	2574	692
788	2577	689
789	2580	685
790	2583	682
791	2586	679
792	2589	675
793	2592	672
794	2595	669
795	2598	666
796	2602	662
797	2605	659
798	2608	656
799	2611	652
800	2614	649
801	2617	646
802	2620	642
803	2623	639
804	2627	636
805	2630	633
806	2633	629
807	2636	626
808	2639	623
809	2642	619
810	2645	616
811	2648	613
812	2651	609
813	2654	606
814	2657	603
815	2661	600
816	2664	596
817	2666	593
818	2669	590
819	2673	586
820	2676	583
821	2679	580
822	2682	576
823	2685	573
824	2688	570
825	2691	566
826	2694	563
827	2697	560
828	2700	557
829	2703	553
830	2706	550
831	2709	547
832	2712	543
833	2715	540
834	2718	537
835	2721	533
836	2724	530
837	2728	527
838	2731	524
839	2734	520
840	2738	517
841	2741	514
842	2745	511
843	2748	507
844	2751	504
845	2754	501
846	2757	498
847	2760	494
848	2763	491
849	2766	488
850	2769	484
851	2772	481
852	2775	478
853	2778	475
854	2781	471
855	2784	468
856	2787	465
857	2791	461
858	2794	458
859	2797	455
860	2800	452
861	2803	448
862	2806	445
863	2809	442
864	2812	439
865	2816	435
866	2819	432
867	2821	429
868	2824	425
869	2828	422
870	2830	419
871	2833	415
872	2836	412
873	2840	409
874	2843	406
875	2846	402
876	2849	399
877	2852	396
878	2855	393
879	2858	389
880	2861	386
881	2864	383
882	2867	380
883	2871	376
884	2874	373
885	2877	370
886	2880	366
887	2883	363
888	2886	360
889	2889	357
890	2892	353
891	2895	350
892	2898	347
893	2901	344
894	2904	340
895	2907	337
896	2910	334
897	2913	330
898	2916	327
899	2919	324
900	2922	321
901	2925	317
902	2928	314
903	2931	311
904	2934	308
905	2937	304
906	2941	301
907	2944	298
908	2947	295
909	2950	291
910	2953	288
911	2956	285
912	2959	282
913	2962	278
914	2966	275
915	2969	272
916	2972	269
917	2975	265
918	2979	262
919	2982	259
920	2986	256
921	2989	252
922	2992	249
923	2996	246
924	2999	243
925	3002	239
926	3005	236
927	3008	233
928	3011	230
929	3014	226
930	3017	223
931	3021	220
932	3023	217
933	3026	213
934	3029	210
935	3032	207
936	3035	204
937	3038	200
938	3041	197
939	3044	194
940	3048	191
941	3051	187
942	3054	184
943	3058	181
944	3061	178
945	3064	174
946	3067	171
947	3070	168
948	3073	165
949	3076	161
950	3080	158
951	3083	155
952	3086	152
953	3089	148
954	3093	145
955	3096	142
956	3099	139
957	3102	136
958	3105	132
959	3108	129
960	3111	126
961	3114	123
962	3117	119
963	3120	116
964	3123	113
965	3127	110
966	3130	106
967	3133	103
968	3136	100
969	3139	97
970	3142	93
971	3145	90
972	3148	87
973	3151	84
974	3155	80
975	3158	77
976	3161	74
977	3164	71
978	3167	67
979	3170	64
980	3173	61
981	3176	58
982	3179	54
983	3183	51
984	3186	48
985	3189	45
986	3193	42
987	3197	38
988	3200	35
989	3203	32
990	3207	29
991	3210	25
992	3213	22
993	3217	19
994	3220	16
995	3224	12
996	3227	9
997	3230	6
998	3233	3
999	3236	0
