iter	RMSE
182	3.607978164
183	3.60627664
184	3.605427151
185	3.603101053
186	3.601794277
187	3.599430685
188	3.598436276
189	3.594761534
190	3.592354736
191	3.591146887
192	3.58918724
193	3.587032494
194	3.585789997
195	3.582662142
196	3.581609826
197	3.58025464
198	3.577209151
199	3.57642552
200	3.57489965
201	3.574114792
202	3.57225044
203	3.568466841
204	3.564407862
205	3.560656289
206	3.559634175
207	3.558244148
208	3.556283697
209	3.555703111
210	3.554778022
211	3.553645171
212	3.552129149
213	3.550745538
214	3.547608936
215	3.544728285
216	3.543870509
217	3.542990782
218	3.541748784
219	3.538859937
220	3.536203171
221	3.534727705
222	3.534022716
223	3.532445663
224	3.530827199
225	3.528314292
226	3.527344286
227	3.523257936
228	3.521410053
229	3.519925438
230	3.517732325
231	3.516259269
232	3.514525452
233	3.513394291
234	3.511835334
235	3.510169118
236	3.508642118
237	3.507082629
238	3.506541113
239	3.506045921
240	3.505202998
241	3.50435755
242	3.503256939
243	3.501542709
244	3.500338625
245	3.49925985
246	3.498379146
247	3.496863158
248	3.495845557
249	3.495078819
250	3.494289675
251	3.493166769
252	3.49141842
253	3.490710295
254	3.489020443
255	3.487877049
256	3.48716726
257	3.485363668
258	3.484276392
259	3.483358322
260	3.481917509
261	3.480904526
262	3.480348695
263	3.479022147
264	3.47744958
265	3.476225837
266	3.475752812
267	3.475313262
268	3.473990746
269	3.473415198
270	3.472510204
271	3.471289608
272	3.469793744
273	3.468602689
274	3.467732556
275	3.466595594
276	3.465056656
277	3.462904245
278	3.461682225
279	3.45810297
280	3.45671376
281	3.454281301
282	3.453402775
283	3.452834504
284	3.451672198
285	3.450829102
286	3.449697307
287	3.447238168
288	3.446197288
289	3.444952776
290	3.444204792
291	3.443490025
292	3.442097388
293	3.441059451
294	3.439982444
295	3.438818472
296	3.437692654
297	3.436903645
298	3.434914183
299	3.433999864
300	3.432675858
301	3.43108992
302	3.429570445
303	3.428963677
304	3.427934367
305	3.426826001
306	3.426026891
307	3.42285954
308	3.421124584
309	3.419523511
310	3.418133551
311	3.416128191
312	3.41526712
313	3.414311225
314	3.41292357
315	3.411821102
316	3.410427396
317	3.410008614
318	3.409056616
319	3.407811454
320	3.40660579
321	3.404544852
322	3.403235009
323	3.402748897
324	3.401434857
325	3.400299838
326	3.399222865
327	3.397582742
328	3.396547994
329	3.395839799
330	3.394745307
331	3.394416648
332	3.393750638
333	3.392101569
334	3.391129945
335	3.390510977
336	3.389085392
337	3.388235685
338	3.387323015
339	3.38652751
340	3.3851996
341	3.384319097
342	3.383308132
343	3.382442259
344	3.381576784
345	3.381027668
346	3.378548538
347	3.377997048
348	3.377446186
349	3.375643958
350	3.374741319
351	3.373814856
352	3.37330254
353	3.373054549
354	3.372424844
355	3.371919173
356	3.370761155
357	3.368810026
358	3.367916261
359	3.367114702
360	3.366436892
361	3.365513207
362	3.364791957
363	3.362593762
364	3.360804705
365	3.360167964
366	3.359615912
367	3.358638561
368	3.357914207
369	3.357049989
370	3.356485638
371	3.355168289
372	3.354657257
373	3.353926069
374	3.353323114
375	3.352306956
376	3.351532245
377	3.350737085
378	3.35029445
379	3.349609566
380	3.348284875
381	3.347573678
382	3.347324807
383	3.345864211
384	3.34540293
385	3.344657985
386	3.344281445
387	3.343376439
388	3.342678758
389	3.341977963
390	3.340787107
391	3.340246077
392	3.33916251
393	3.33881079
394	3.3384326
395	3.337538021
396	3.336917108
397	3.33631843
398	3.335587953
399	3.334817339
400	3.333985822
401	3.333291488
402	3.332720103
403	3.332533579
404	3.331524036
405	3.331148454
406	3.330279567
407	3.329847948
408	3.329435743
409	3.328600224
410	3.327922843
411	3.327146948
412	3.326756473
413	3.325979996
414	3.325470577
415	3.324676879
416	3.323598281
417	3.323166841
418	3.321927634
419	3.321314678
420	3.320778852
421	3.319880828
422	3.319442855
423	3.318469431
424	3.31795454
425	3.317240014
426	3.3166219
427	3.315954137
428	3.315475169
429	3.314145457
430	3.312854218
431	3.312233469
432	3.31144319
433	3.309560551
434	3.308892474
435	3.308079842
436	3.307680856
437	3.306438749
438	3.306029554
439	3.30502795
440	3.304176023
441	3.303665842
442	3.303355205
443	3.302765059
444	3.3017762
445	3.301153152
446	3.30051304
447	3.300138669
448	3.299305373
449	3.298602824
450	3.298285566
451	3.297418467
452	3.296467462
453	3.295361608
454	3.294972924
455	3.294547699
456	3.293996017
457	3.292714035
458	3.29204531
459	3.290861834
460	3.290290155
461	3.289151543
462	3.288513007
463	3.287260065
464	3.286549307
465	3.28586374
466	3.285487187
467	3.285014134
468	3.284432521
469	3.284189975
470	3.283905239
471	3.283588315
472	3.283108601
473	3.281947602
474	3.281321932
475	3.28053392
476	3.280041307
477	3.279142903
478	3.278017535
479	3.276546323
480	3.275868849
481	3.275443273
482	3.275126918
483	3.274700949
484	3.274045149
485	3.273084987
486	3.272677491
487	3.272163204
488	3.27189364
489	3.271690622
490	3.271092664
491	3.270734053
492	3.270573095
493	3.27022532
494	3.269585302
495	3.268574216
496	3.268048681
497	3.267768692
498	3.266776342
499	3.266286314
500	3.266021979
501	3.265137338
502	3.264585819
503	3.263906286
504	3.262883384
505	3.262542828
506	3.261626874
507	3.260960844
508	3.25998581
509	3.259430715
510	3.258935162
511	3.258141501
512	3.257657962
513	3.25655675
514	3.256086478
515	3.25577739
516	3.255026783
517	3.254461503
518	3.254049848
519	3.253848046
520	3.252880127
521	3.252428704
522	3.251245929
523	3.250513572
524	3.250072229
525	3.249794922
526	3.249309097
527	3.248874888
528	3.247727361
529	3.247394796
530	3.247038204
531	3.246857981
532	3.246341123
533	3.245903199
534	3.245579965
535	3.245046309
536	3.244627219
537	3.243705419
538	3.243391424
539	3.242428599
540	3.24167617
541	3.241229322
542	3.240923934
543	3.240160675
544	3.239602941
545	3.238917224
546	3.238697767
547	3.238345491
548	3.237330037
549	3.236778625
550	3.235849426
551	3.235552278
552	3.235163466
553	3.23415834
554	3.234006519
555	3.233717755
556	3.233042383
557	3.23173353
558	3.231185516
559	3.230878153
560	3.23047958
561	3.229418477
562	3.228594522
563	3.22781785
564	3.227536426
565	3.226976648
566	3.226441308
567	3.225596979
568	3.224633756
569	3.224309305
570	3.224200047
571	3.223521708
572	3.222923082
573	3.22232804
574	3.221922979
575	3.2211598
576	3.220755198
577	3.219942867
578	3.219543321
579	3.219148642
580	3.218706635
581	3.218406877
582	3.218107438
583	3.217806534
584	3.217547096
585	3.217272824
586	3.216577666
587	3.216310895
588	3.215740967
589	3.214998409
590	3.214114966
591	3.213538821
592	3.213412792
593	3.213079985
594	3.212753479
595	3.212285954
596	3.212137762
597	3.211785736
598	3.211085161
599	3.210600235
600	3.210340481
601	3.209804394
602	3.209101359
603	3.20863636
604	3.208277863
605	3.207911269
606	3.20700905
607	3.206294073
608	3.20587085
609	3.20532308
610	3.204789395
611	3.203961958
612	3.203725082
613	3.203484112
614	3.202510673
615	3.20221776
616	3.201673704
617	3.200862488
618	3.200097846
619	3.199726723
620	3.19898274
621	3.198487423
622	3.198046253
623	3.197650223
624	3.197349859
625	3.197075268
626	3.196846894
627	3.196009263
628	3.195670247
629	3.195220811
630	3.1946042
631	3.194332215
632	3.194203501
633	3.19376529
634	3.193580126
635	3.193041864
636	3.192379791
637	3.19209529
638	3.191432224
639	3.190763672
640	3.189972538
641	3.189724789
642	3.189193745
643	3.188859601
644	3.18864968
645	3.188219747
646	3.187670218
647	3.186879665
648	3.186561152
